street_name,LOCATION,weighted_count
   8TH                          AV,5100    8TH                          AV,0.0
   8TH                          AV,5300    8TH                          AV,5.25
   8TH                          AV,5400    8TH                          AV,0.0
   8TH                          AV,5700    8TH                          AV,2.625
   8TH                          AV,5800    8TH                          AV,17.5
   8TH                          AV,6000    8TH                          AV,10.5
   8TH                          AV,6100    8TH                          AV,7.0
   8TH                          AV,6200    8TH                          AV,6.125
   8TH                          AV,6300    8TH                          AV,10.5
   8TH                          AV,6400    8TH                          AV,10.5
   8TH                          AV,6500    8TH                          AV,7.875
   8TH                          AV,6600    8TH                          AV,13.125
   8TH                          AV,6800    8TH                          AV,0.0
   8TH                          AV,7000    8TH                          AV,0.0
   8TH                          AV,7100    8TH                          AV,44.625
   91ST                         ST,1100    91ST                         ST,0.0
   96TH                         ST,6100    96TH                         ST,0.0
   99TH                         PL,2000    99TH                         PL,10.5
   99TH                         PL,2100    99TH                         PL,13.125
   99TH                         PL,2200    99TH                         PL,20.125
   9TH                          AV,2100    9TH                          AV,0.0
   9TH                          AV,2200    9TH                          AV,10.5
   9TH                          AV,2500    9TH                          AV,7.875
   9TH                          AV,2900    9TH                          AV,9.625
   9TH                          AV,3000    9TH                          AV,0.0
   9TH                          AV,3100    9TH                          AV,0.0
   9TH                          AV,3400    9TH                          AV,7.875
   9TH                          AV,3500    9TH                          AV,0.0
   9TH                          AV,3600    9TH                          AV,5.25
   9TH                          AV,4000    9TH                          AV,0.0
   9TH                          AV,4200    9TH                          AV,0.0
   9TH                          AV,4300    9TH                          AV,2.625
   9TH                          AV,4400    9TH                          AV,2.625
   9TH                          AV,4500    9TH                          AV,0.0
   9TH                          AV,4900    9TH                          AV,0.0
   9TH                          AV,5400    9TH                          AV,0.0
   9TH                          AV,5700    9TH                          AV,0.0
   9TH                          AV,7200    9TH                          AV,2.625
   9TH                          AV,7300    9TH                          AV,0.0
   AARON                        ST,2100    AARON                        ST,10.5
   ABBEY                        PL,4500    ABBEY                        PL,0.0
   ABBOTT                       PL,5100    ABBOTT                       PL,0.0
   ABBOTT                       PL,5300    ABBOTT                       PL,0.0
   ABBOTT                       PL,5400    ABBOTT                       PL,0.0
   ABERNATHY                    DR,5800    ABERNATHY                    DR,0.0
   ABERNATHY                    DR,5900    ABERNATHY                    DR,23.625
   ABOURNE                      RD,4000    ABOURNE                      RD,2.625
   ABRIGO                       AV,2700    ABRIGO                       AV,0.0
   ACACIA                       ST,6200    ACACIA                       ST,0.0
   ACADEMY                      DR,1800    ACADEMY                      DR,14.875
   ACADEMY                      RD,00800    ACADEMY                      RD,0.0
   ACADEMY                      RD,1300    ACADEMY                      RD,0.0
   ACADEMY                      RD,600    ACADEMY                      RD,2.625
   ACADEMY                      RD,800    ACADEMY                      RD,31.5
   ACADEMY                      RD,900    ACADEMY                      RD,15.75
   ACADEMY                      ST,4700    ACADEMY                      ST,2.625
   ACAMA                        ST,10700    ACAMA                        ST,0.0
   ACAMA                        ST,10800    ACAMA                        ST,0.0
   ACAMA                        ST,11000    ACAMA                        ST,2.625
